# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2025-09-03 22:45:12 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15478040 PHELAN C NR PAXSON AK
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 15478040
#    TS_ID       Parameter Description
#    1755        00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	1755_00065	1755_00065_cd
5s	15s	20d	6s	14n	10s
USGS	15478040	2024-10-07	00:00	AKDT	147.94	P
USGS	15478040	2024-10-07	00:15	AKDT	147.94	P
USGS	15478040	2024-10-07	00:30	AKDT	147.94	P
USGS	15478040	2024-10-07	00:45	AKDT	147.95	P
USGS	15478040	2024-10-07	01:00	AKDT	147.93	P
USGS	15478040	2024-10-07	01:15	AKDT	147.95	P
USGS	15478040	2024-10-07	01:30	AKDT	147.95	P
USGS	15478040	2024-10-07	01:45	AKDT	147.96	P
USGS	15478040	2024-10-07	02:00	AKDT	147.94	P
USGS	15478040	2024-10-07	02:15	AKDT	147.93	P
USGS	15478040	2024-10-07	02:30	AKDT	147.95	P
USGS	15478040	2024-10-07	02:45	AKDT	147.92	P
USGS	15478040	2024-10-07	03:00	AKDT	147.93	P
USGS	15478040	2024-10-07	03:15	AKDT	147.96	P
USGS	15478040	2024-10-07	03:30	AKDT	147.97	P
USGS	15478040	2024-10-07	03:45	AKDT	147.97	P
USGS	15478040	2024-10-07	04:00	AKDT	147.95	P
USGS	15478040	2024-10-07	04:15	AKDT	147.92	P
USGS	15478040	2024-10-07	04:30	AKDT	147.94	P
USGS	15478040	2024-10-07	04:45	AKDT	147.94	P
USGS	15478040	2024-10-07	05:00	AKDT	147.96	P
USGS	15478040	2024-10-07	05:15	AKDT	147.92	P
USGS	15478040	2024-10-07	05:30	AKDT	147.89	P
USGS	15478040	2024-10-07	05:45	AKDT	147.94	P
USGS	15478040	2024-10-07	06:00	AKDT	147.95	P
USGS	15478040	2024-10-07	06:15	AKDT	147.95	P
USGS	15478040	2024-10-07	06:30	AKDT	147.91	P
USGS	15478040	2024-10-07	06:45	AKDT	147.93	P
USGS	15478040	2024-10-07	07:00	AKDT	147.93	P
USGS	15478040	2024-10-07	07:15	AKDT	147.94	P
USGS	15478040	2024-10-07	07:30	AKDT	147.91	P
USGS	15478040	2024-10-07	07:45	AKDT	147.89	P
USGS	15478040	2024-10-07	08:00	AKDT	147.94	P
USGS	15478040	2024-10-07	08:15	AKDT	147.95	P
USGS	15478040	2024-10-07	08:30	AKDT	147.92	P
USGS	15478040	2024-10-07	08:45	AKDT	147.92	P
USGS	15478040	2024-10-07	09:00	AKDT	147.94	P
USGS	15478040	2024-10-07	09:15	AKDT	147.89	P
USGS	15478040	2024-10-07	09:30	AKDT	147.91	P
USGS	15478040	2024-10-07	09:45	AKDT	147.94	P
USGS	15478040	2024-10-07	10:00	AKDT	147.94	P
USGS	15478040	2024-10-07	10:15	AKDT	147.95	P
USGS	15478040	2024-10-07	10:30	AKDT	147.93	P
USGS	15478040	2024-10-07	10:45	AKDT	147.93	P
USGS	15478040	2024-10-07	11:00	AKDT	147.93	P
USGS	15478040	2024-10-07	11:15	AKDT	147.90	P
USGS	15478040	2024-10-07	11:30	AKDT	147.92	P
USGS	15478040	2024-10-07	11:45	AKDT	147.94	P
USGS	15478040	2024-10-07	12:00	AKDT	147.91	P
USGS	15478040	2024-10-07	12:15	AKDT	147.94	P
USGS	15478040	2024-10-07	12:30	AKDT	147.91	P
USGS	15478040	2024-10-07	12:45	AKDT	147.94	P
USGS	15478040	2024-10-07	13:00	AKDT	147.99	P
USGS	15478040	2024-10-07	13:15	AKDT	147.95	P
USGS	15478040	2024-10-07	13:30	AKDT	147.91	P
USGS	15478040	2024-10-07	13:45	AKDT	147.95	P
USGS	15478040	2024-10-07	14:00	AKDT	147.97	P
USGS	15478040	2024-10-07	14:15	AKDT	148.01	P
USGS	15478040	2024-10-07	14:30	AKDT	147.95	P
USGS	15478040	2024-10-07	14:45	AKDT	147.97	P
USGS	15478040	2024-10-07	15:00	AKDT	147.99	P
USGS	15478040	2024-10-07	15:15	AKDT	148.00	P
USGS	15478040	2024-10-07	15:30	AKDT	147.98	P
USGS	15478040	2024-10-07	15:45	AKDT	147.95	P
USGS	15478040	2024-10-07	16:00	AKDT	147.96	P
USGS	15478040	2024-10-07	16:15	AKDT	148.01	P
USGS	15478040	2024-10-07	16:30	AKDT	148.01	P
USGS	15478040	2024-10-07	16:45	AKDT	148.05	P
USGS	15478040	2024-10-07	17:00	AKDT	148.10	P
USGS	15478040	2024-10-07	17:15	AKDT	148.14	P
USGS	15478040	2024-10-07	17:30	AKDT	148.20	P
USGS	15478040	2024-10-07	17:45	AKDT	148.21	P
USGS	15478040	2024-10-07	18:00	AKDT	148.15	P
USGS	15478040	2024-10-07	18:15	AKDT	148.16	P
USGS	15478040	2024-10-07	18:30	AKDT	148.14	P
USGS	15478040	2024-10-07	18:45	AKDT	148.13	P
USGS	15478040	2024-10-07	19:00	AKDT	148.09	P
USGS	15478040	2024-10-07	19:15	AKDT	148.09	P
USGS	15478040	2024-10-07	19:30	AKDT	148.09	P
USGS	15478040	2024-10-07	19:45	AKDT	148.05	P
USGS	15478040	2024-10-07	20:00	AKDT	148.09	P
USGS	15478040	2024-10-07	20:15	AKDT	148.05	P
USGS	15478040	2024-10-07	20:30	AKDT	148.07	P
USGS	15478040	2024-10-07	20:45	AKDT	148.07	P
USGS	15478040	2024-10-07	21:00	AKDT	148.08	P
USGS	15478040	2024-10-07	21:15	AKDT	148.08	P
USGS	15478040	2024-10-07	21:30	AKDT	148.04	P
USGS	15478040	2024-10-07	21:45	AKDT	148.05	P
USGS	15478040	2024-10-07	22:00	AKDT	148.03	P
USGS	15478040	2024-10-07	22:15	AKDT	148.03	P
